ID,geo_point_2d,geo_shape,bike_age,crash_time,crash_year,drvr_age
79,35.908867092; -79.0593027431,"{""type"": ""Point"", ""coordinates"": [-79.05930274311167, 35.90886709204745]}",21,12:23:00 PM,2011,52
80,35.9037740898; -79.0911627523,"{""type"": ""Point"", ""coordinates"": [-79.0911627523238, 35.90377408980926]}",19,03:46:00 PM,2008,64
81,35.8849140869; -79.0670877444,"{""type"": ""Point"", ""coordinates"": [-79.06708774440911, 35.88491408691178]}",8,03:42:00 PM,2008,48
82,35.9052040917; -79.0551127419,"{""type"": ""Point"", ""coordinates"": [-79.05511274189362, 35.905204091726375]}",34,05:24:00 PM,2007,39
83,35.9666511079; -78.9674927182,"{""type"": ""Point"", ""coordinates"": [-78.9674927182438, 35.966651107914345]}",52,08:25:00 PM,2007,20
84,36.0326531213; -78.9825627263,"{""type"": ""Point"", ""coordinates"": [-78.98256272627279, 36.03265312134438]}",41,07:23:00 PM,2007,41
85,35.9486699999; -78.9689000002,"{""type"": ""Point"", ""coordinates"": [-78.96890000017727, 35.948669999861636]}",15,06:50:00 PM,2013,30
86,35.9116930924; -79.0622527444,"{""type"": ""Point"", ""coordinates"": [-79.06225274442507, 35.9116930924062]}",27,08:34:00 PM,2008,21
87,35.9066920909; -79.0836667501,"{""type"": ""Point"", ""coordinates"": [-79.08366675012236, 35.906692090910965]}",41,03:08:00 PM,2009,37
88,35.9088470921; -79.0593027428,"{""type"": ""Point"", ""coordinates"": [-79.05930274282764, 35.908847092122464]}",22,05:24:00 PM,2012,16
89,35.9122170933; -79.0503027406,"{""type"": ""Point"", ""coordinates"": [-79.0503027405566, 35.9122170933067]}",21,12:41:00 PM,2012,63
90,35.9352790982; -79.0560177439,"{""type"": ""Point"", ""coordinates"": [-79.05601774388467, 35.93527909823596]}",33,08:39:00 PM,2008,31
91,35.9239650943; -79.0903527532,"{""type"": ""Point"", ""coordinates"": [-79.09035275315159, 35.92396509431087]}",29,05:45:00 PM,2009,43
92,35.9137699999; -79.0500000003,"{""type"": ""Point"", ""coordinates"": [-79.05000000032517, 35.91376999992327]}",18,04:29:00 PM,2013,43
93,35.9638571047; -79.0476027423,"{""type"": ""Point"", ""coordinates"": [-79.04760274234484, 35.96385710469284]}",25,02:47:00 AM,2012,49
94,35.9697141049; -79.0750327509,"{""type"": ""Point"", ""coordinates"": [-79.07503275091864, 35.96971410488404]}",54,05:44:00 AM,2010,55
95,35.9099370924; -79.056182742,"{""type"": ""Point"", ""coordinates"": [-79.0561827419765, 35.90993709243556]}",33,12:02:00 PM,2009,33
96,35.9275370952; -79.0932187538,"{""type"": ""Point"", ""coordinates"": [-79.09321875380844, 35.92753709521246]}",49,07:40:00 AM,2009,60
97,35.9090110923; -79.0669527452,"{""type"": ""Point"", ""coordinates"": [-79.06695274518474, 35.909011092280814]}",23,08:58:00 AM,2008,48
98,35.9108000926; -79.0682027458,"{""type"": ""Point"", ""coordinates"": [-79.06820274581186, 35.910800092584466]}",28,08:35:00 PM,2008,23
99,36.0325471211; -78.9843027275,"{""type"": ""Point"", ""coordinates"": [-78.98430272751382, 36.0325471211292]}",13,03:18:00 PM,2012,70
100,35.9073940943; -78.9819667192,"{""type"": ""Point"", ""coordinates"": [-78.98196671916098, 35.907394094330655]}",11,04:47:00 PM,2010,24
101,35.9376070989; -79.0565827433,"{""type"": ""Point"", ""coordinates"": [-79.05658274329302, 35.937607098861896]}",65,05:25:00 PM,2008,65
102,35.9421199996; -79.0178999996,"{""type"": ""Point"", ""coordinates"": [-79.01789999960326, 35.94211999956423]}",19,03:43:00 PM,2013,67
103,35.9813171095; -78.9980027285,"{""type"": ""Point"", ""coordinates"": [-78.99800272853315, 35.98131710946684]}",34,07:34:00 PM,2012,41
104,35.902987093; -79.0108027277,"{""type"": ""Point"", ""coordinates"": [-79.01080272773505, 35.90298709303507]}",51,04:06:00 PM,2012,24
105,35.9118110932; -79.0620377441,"{""type"": ""Point"", ""coordinates"": [-79.0620377440722, 35.911811093180816]}",21,11:50:00 PM,2010,23
106,35.9093130923; -79.0581827432,"{""type"": ""Point"", ""coordinates"": [-79.05818274320009, 35.90931309234802]}",32,03:29:00 PM,2008,21
107,35.9352790982; -79.0560177439,"{""type"": ""Point"", ""coordinates"": [-79.05601774388467, 35.93527909823596]}",63,01:56:00 PM,2008,62
108,35.9090970918; -79.0778687486,"{""type"": ""Point"", ""coordinates"": [-79.07786874862747, 35.90909709177174]}",36,05:37:00 PM,2008,50
109,35.964087104; -79.0582027456,"{""type"": ""Point"", ""coordinates"": [-79.05820274558646, 35.964087104028906]}",48,04:02:00 PM,2011,43
110,35.9302300002; -79.0243000001,"{""type"": ""Point"", ""coordinates"": [-79.02430000007742, 35.93023000018545]}",0,04:15:00 PM,2013,70
111,36.0334311216; -78.973302724,"{""type"": ""Point"", ""coordinates"": [-78.97330272402468, 36.033431121567084]}",33,03:18:00 PM,2008,58
112,35.9145870936; -79.0658027459,"{""type"": ""Point"", ""coordinates"": [-79.06580274589346, 35.91458709362954]}",8,03:55:00 PM,2011,46
113,35.9292570976; -79.0341727362,"{""type"": ""Point"", ""coordinates"": [-79.03417273620155, 35.92925709758748]}",18,02:17:00 PM,2007,68
114,35.8915970884; -79.0644427439,"{""type"": ""Point"", ""coordinates"": [-79.06444274385063, 35.89159708844774]}",43,01:27:00 PM,2008,19
115,35.9132570933; -79.0557277422,"{""type"": ""Point"", ""coordinates"": [-79.05572774221879, 35.913257093267134]}",21,02:46:00 PM,2008,54
116,35.9055440906; -79.0874227514,"{""type"": ""Point"", ""coordinates"": [-79.08742275142457, 35.905544090551444]}",29,06:07:00 PM,2009,22
117,35.908867092; -79.0593027431,"{""type"": ""Point"", ""coordinates"": [-79.05930274311167, 35.90886709204745]}",23,08:06:00 PM,2011,21
118,35.9152570935; -79.0568027425,"{""type"": ""Point"", ""coordinates"": [-79.05680274245861, 35.9152570935416]}",38,05:39:00 PM,2011,70
119,35.9119940927; -79.0589527435,"{""type"": ""Point"", ""coordinates"": [-79.05895274351566, 35.9119940926545]}",53,05:39:00 PM,2010,42
120,35.910713092; -79.0694927463,"{""type"": ""Point"", ""coordinates"": [-79.06949274629599, 35.91071309202721]}",29,03:09:00 PM,2007,22
121,35.9131870936; -79.0588027428,"{""type"": ""Point"", ""coordinates"": [-79.05880274283945, 35.913187093579936]}",48,05:22:00 PM,2011,28
122,35.903717092; -79.0464027384,"{""type"": ""Point"", ""coordinates"": [-79.04640273836073, 35.903717091954775]}",18,04:41:00 PM,2012,45
