oid,gid,pop,labor,unemp,unemppct,blackunemppct,asianunemppct,whiteunemppct,hispanicunemppct,shapearea,shapelen
57,1334428,227,192,89,5.6,12.7,167.1,3.7,27.6,165090436.446289,74603.0835823151
58,1312988,1090,975,316,2.4,11.9,8.8,2.8,4.3,518806923.966553,584234.784086794
59,1304252,540,483,198,4.6,5.6,99,4.8,10.7,163766079.448975,225608.318904674
60,1349756,1479,1301,405,1.2,2.5,5.1,1.8,2.9,646116713.667725,594624.48232853
61,1339076,431,384,85,3.9,4.6,,4.9,15.3,106401992.345947,293471.728669365
62,1313492,1047,891,323,2.5,5.7,20,3.3,6,635329042.065186,488777.614663471
63,1361040,101,90,57,14.8,15.4,612.8,5.4,229.8,7017164.40576172,18197.2411640371
64,1346860,188,160,62,6.3,4.8,,83.6,76.6,25831312.449707,33935.1923670846
65,1373816,535,453,128,3.6,4.5,60.6,4.7,12.1,45423272.1772461,60693.8347650573
66,1342184,41,41,56,105.6,,,21.2,,20687468.6203613,16207.3783466703
67,1352192,659,560,242,3.8,7.4,104.8,4.1,20.1,421736378.675537,201101.66591277
68,1380228,116,85,62,10.8,68.1,,8,,79787887.3408203,68419.7291853002
69,1324768,1191,1095,272,1.1,3.2,2.4,1.1,4.5,369256145.754395,89952.7535854072
70,1321324,846,726,166,2.8,4.8,42.2,2.9,8.4,195180658.479492,299763.448395155
71,1375832,581,543,83,3.5,3.4,,2.7,24.2,207596919.79126,111607.13489323
72,1307612,87,80,50,13.5,33.4,124.2,4.3,25.5,64115686.534668,58240.6358572895
73,1383420,528,457,133,1.9,5.8,15.3,2,5.5,354640578.878662,229885.327807386
74,1352668,60,45,55,27.8,83.6,,2.1,367.7,21767332.5043945,27909.15813808
75,1355020,1065,950,257,1.4,3.6,5.5,1.3,5.8,519829153.715576,278439.570120022
76,1369672,312,262,115,5.4,7.8,,6.7,26.7,153566514.866455,114154.947034321
77,1369980,57,53,54,30.4,87.5,,9.9,74.8,14980943.7585449,21796.2006058407
78,1377764,50,48,55,40.6,306.4,,11.6,141.4,35542177.9438477,39962.8276690074
79,1345488,1135,927,306,2.1,3.6,9.2,2.7,3.4,373812773.565918,235221.708555424
80,1321184,670,530,257,8.8,5.4,18.4,11,20,137186258.276611,176709.769956127
81,1307248,131,110,53,5.1,18,8.9,3.4,19.5,51203132.8408203,46470.0020445853
82,1355776,722,596,157,1.9,5.3,3.4,2.8,3.1,167952852.360107,93649.1463015621
83,1359735,1212,1049,316,1.4,4.9,2.8,1.4,3.4,458765994.718994,168245.001560291
84,1374936,843,745,155,1.6,4.5,1.9,2,5.2,304890403.988525,152356.610596177
85,1347196,583,477,191,3.8,12.2,10.5,2,19.9,206853824.596436,157193.249960072
