Waterbody,County,StockSched,Designatio,RainbowTro,BrownTrout,BrookTrout,Notes,HeritageDa,NationalFo,NoFallStoc,FWVA_Trout,FWVA_Rainb,FWVA_Brown,FWVA_Brook,FWVA_Wild,GlobalID
Snake Creek,Carroll,SR,SR,"1","1","1","12"" Minimum.","0","0","0","1","1","1","1","0",{032359D7-1A64-46D7-AFA1-35FC2D4A5A47}
Quebec Branch,Grayson,SR,SR,"1","0","1","9"" Minimum","0","0","0","1","1","0","1","0",{DAB1C881-982C-465D-A00A-A13E48DCEE96}
Russell Fork River (Bartlick),Dickenson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{88069061-5427-4941-A9A4-366A99649C5B}
Pound River (Flannagan Dam),Dickenson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{CF864724-495C-4F6E-943F-C0F498442DFA}
Crooked Creek,Carroll,A,PNT,"1","0","0",,"0","0","0","3","1","0","0","0",{A15ACD7E-F11E-432F-B547-BC81BFDDA08D}
Burks Fork,Floyd,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{847279ED-7CD5-4964-9BED-50C28A3AE241}
"Chestnut Creek, EF",Grayson,SR,SR,"0","0","1",Catch and Release,"0","0","0","1","0","0","1","0",{B2E4F503-7210-4C83-ABAA-1B0F67C6BFFA}
Cripple Creek,Wythe,A,PNT,"1","0","0",Route 94,"0","0","0","3","1","0","0","0",{F78D9079-470F-4E90-9F59-C35209FFCC5A}
Russell Fork River (Haysi),Dickenson,B,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{4F694D2A-5B46-4F08-AD6D-920333A2082A}
Crooked Creek,Carroll,FF,FF,"1","0","0",,"0","0","0","1","1","0","0","0",{B19667A5-0A5C-483C-8AAF-B834B20B647E}
East Fork Little Reed Island Creek,Carroll,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{B4FF8677-CBA7-4B42-A449-E19E3AE8C1C8}
Cripple Creek,Wythe,A,PNT,"1","0","0",Ravens,"1","0","0","3","1","0","0","0",{5C56C6DB-396C-4205-8ACF-D53573A4E8A3}
Peak Creek,Pulaski,DH,DH,"1","0","0",,"0","0","0","1","1","0","0","0",{84753911-64CA-40FB-9F25-2D938BF3FCEC}
Helton Creek Lower,Grayson,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{544B3F4E-79E0-4E24-BB4D-90F65F5F23F0}
Fox Creek,Grayson,B,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{59BF970D-B397-43AC-B1B3-ADFFEC821D02}
Little Snake Creek,Carroll,SR,SR,"1","1","1","12"" Minimum","0","0","0","1","1","1","1","0",{C132E6C0-8379-49AE-842B-942C9C599393}
Middle Fox Creek,Grayson,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{F60D407D-F49A-4CB9-AE02-B11189F99ACA}
Peak Creek,Pulaski,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{4338AD86-5370-4F30-B4EC-67CB77A082C6}
Little Wilson Creek,Grayson,SR,SR,"1","0","1","9"" Minimum","0","0","0","1","1","0","1","0",{AC44FECC-3765-4F19-821A-FE95E8EB5391}
Cabin Creek,Grayson,SR,SR,"0","0","1","9"" Minimum","0","0","0","1","0","0","1","0",{C4D25E3F-2867-4ADB-BF4F-8FD6ACDA276B}
Wilburn Branch,Grayson,SR,SR,"1","0","1","9"" Minimum","0","0","0","1","1","0","1","0",{09A9FCBA-865D-447E-A6BD-09F56B5C8BCE}
Little River,Floyd,A,PNT,"1","0","0",,"0","0","0","3","1","0","0","0",{44A18C7A-E725-458F-B8EC-3ABCF3CFF153}
"Crooked Creek, EF",Carroll,A,PNT,"0","0","1",,"0","0","0","3","0","0","1","0",{D4462CCA-6A47-4D92-A642-434F68BE1A42}
Elk Creek Upper,Grayson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{63174237-B890-4945-B18F-D7D83AD19129}
West Fork Little River,Floyd,B,PNT,"1","0","0",,"0","0","1","1","1","0","0","0",{B8A8ACA2-05B6-4FE7-AB9A-D50C2324ED48}
Mira Fork,Floyd,C,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{7E2559E4-48D1-46A3-A682-40788637AA2D}
